,base_year,code,name,name_eng
0,2013,11250,강동구,Gangdong-gu
1,2013,11240,송파구,Songpa-gu
2,2013,11230,강남구,Gangnam-gu
3,2013,11220,서초구,Seocho-gu
4,2013,11210,관악구,Gwanak-gu
5,2013,11200,동작구,Dongjak-gu
6,2013,11190,영등포구,Yeongdeungpo-gu
7,2013,11180,금천구,Geumcheon-gu
8,2013,11170,구로구,Guro-gu
9,2013,11160,강서구,Gangseo-gu
10,2013,11150,양천구,Yangcheon-gu
11,2013,11140,마포구,Mapo-gu
12,2013,11130,서대문구,Seodaemun-gu
13,2013,11120,은평구,Eunpyeong-gu
14,2013,11110,노원구,Nowon-gu
15,2013,11100,도봉구,Dobong-gu
16,2013,11090,강북구,Gangbuk-gu
17,2013,11080,성북구,Seongbuk-gu
18,2013,11070,중랑구,Jungnang-gu
19,2013,11060,동대문구,Dongdaemun-gu
20,2013,11050,광진구,Gwangjin-gu
21,2013,11040,성동구,Seongdong-gu
22,2013,11030,용산구,Yongsan-gu
23,2013,11020,중구,Jung-gu
24,2013,11010,종로구,Jongno-gu
